id;documento
1;A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano.
2;O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final.
3;A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação.
4;O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores.
5;A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos.
6;A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21.
7;Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade.
8;A indexação de documentos facilita a recuperação da informação em bases de dados especializadas.
9;O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento.
10;Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas.
11;A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos.
12;Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais.
13;A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura.
14;O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos.
15;A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna.
16;Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução.
17;A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos.
18;O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente.
19;A curadoria digital envolve a seleção e manutenção de ativos digitais a longo prazo.
20;O código de ética profissional do bibliotecário orienta a conduta técnica e social da categoria.
21;A normalização documentária segue as diretrizes da ABNT para trabalhos acadêmicos no Brasil.
22;O bibliotecário de dados trabalha com a organização e preservação de conjuntos de dados de pesquisa.
23;As bibliotecas especializadas atendem a demandas de áreas específicas como medicina e direito.
24;A acessibilidade em bibliotecas garante que pessoas com deficiência tenham pleno acesso à informação.
25;O desenvolvimento de coleções deve considerar o perfil da comunidade atendida pela instituição.
26;O marketing em bibliotecas ajuda a promover os serviços e atrair novos tipos de usuários.
27;A bibliometria utiliza métodos estatísticos para analisar a produção científica e o impacto de citações.
28;O Tesauro é uma linguagem documental controlada que auxilia na representação temática de textos.
29;As bibliotecas comunitárias surgem como iniciativas de resistência cultural em periferias urbanas.
30;A competência em informação capacita o cidadão a avaliar criticamente as fontes de notícias.
